Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-05-23,186.35,188.5,185.76,188.36,20058415.0,0.0,1.0,184.25954715360692,186.3854287011264,183.67616570568296,186.24699920500888,20058415.0
2018-05-24,188.77,188.84,186.21,188.15,23233975.0,0.0,1.0,186.65239987221025,186.721614620269,184.12111765748938,186.03935496083253,23233975.0
2018-05-25,188.23,189.65,187.65,188.58,17460963.0,0.0,1.0,186.11845753004255,187.52252813352055,185.54496390326986,186.46453127033644,17460963.0
2018-05-29,187.6,188.75,186.87,187.9,22514075.0,0.0,1.0,185.49552479751358,186.63262422990772,184.7737138534721,185.7921594320512,22514075.0
2018-05-30,187.72,188.0,186.78,187.5,18690547.0,0.0,1.0,185.61417865132864,185.89103764356372,184.68472346311083,185.39664658600105,18690547.0
2018-05-31,187.22,188.23,186.14,186.87,27482793.0,0.0,1.0,185.11978759376595,186.11845753004255,184.0519029094306,184.7737138534721,27482793.0
2018-06-01,187.9912,190.26,187.75,190.24,23442510.0,0.0,1.0,185.8823363609506,188.12568522374698,185.6438421147824,188.1059095814445,23442510.0
2018-06-04,191.635,193.42,191.35,191.83,26266174.0,0.0,1.0,189.48526063204432,191.25023670754305,189.2034577292336,189.6780731444938,26266174.0
2018-06-05,193.065,193.94,192.36,193.31,21565963.0,0.0,1.0,190.89921905667356,191.76440340740825,190.20212766551023,191.1414706748793,21565963.0
2018-06-06,193.63,194.08,191.92,193.98,20933619.0,0.0,1.0,191.45788095171937,191.9028329035258,189.76706353485505,191.80395469201324,20933619.0
2018-06-07,194.14,194.2,192.335,193.46,21347180.0,0.0,1.0,191.9621598304333,192.02148675734082,190.1774081126321,191.2897879921481,21347180.0
2018-06-08,191.17,192.0,189.77,191.7,26656799.0,0.0,1.0,189.02547694851103,189.84616610406508,187.64118198733559,189.54953146952747,26656799.0
2018-06-11,191.35,191.97,190.21,191.23,18308460.0,0.0,1.0,189.2034577292336,189.81650264061133,188.07624611799073,189.08480387541857,18308460.0
2018-06-12,191.385,192.611,191.15,192.28,16911141.0,0.0,1.0,189.23806510326298,190.45031197640665,189.00570130620855,190.12302509630018,16911141.0
2018-06-13,192.42,192.88,190.44,190.7,21638393.0,0.0,1.0,190.26145459241772,190.71629436537538,188.30366600446956,188.56074935440213,21638393.0
2018-06-14,191.55,191.57,190.22,190.8,21610074.0,0.0,1.0,189.4012141522587,189.4209897945612,188.08613393914197,188.6596275659147,21610074.0
2018-06-15,190.03,190.16,188.26,188.84,61719160.0,0.0,1.0,187.89826533726816,188.02680701223446,186.14812099349632,186.721614620269,61719160.0
2018-06-18,187.88,189.22,187.2,188.74,18484865.0,0.0,1.0,185.7723837897487,187.09735182401664,185.10001195146344,186.62273640875648,18484865.0
2018-06-19,185.14,186.33,183.45,185.69,33578455.0,0.0,1.0,183.06312079430523,184.2397715113044,181.39207901974342,183.60695095762418,33578455.0
2018-06-20,186.35,187.2,185.73,186.5,20628701.0,0.0,1.0,184.25954715360692,185.10001195146344,183.6465022422292,184.40786447087572,20628701.0
2018-06-21,187.25,188.35,184.94,185.46,25711898.0,0.0,1.0,185.14945105721972,186.23711138385758,182.86536437128018,183.37953107114538,25711898.0
2018-06-22,186.12,186.15,184.7,184.92,27200447.0,0.0,1.0,184.0321272671281,184.06179073058186,182.62805666365009,182.84558872897767,27200447.0
2018-06-25,183.4,184.92,180.73,182.17,31663096.0,0.0,1.0,181.34263991398717,182.84558872897767,178.7025916666025,180.12643791238298,31663096.0
2018-06-26,182.99,186.53,182.54,184.43,24569201.0,0.0,1.0,180.9372392467858,184.4375279343295,180.49228729497938,182.36108549256627,24569201.0
2018-06-27,185.2278,187.28,184.03,184.16,25285328.0,0.0,1.0,183.14993586401326,185.1791145206735,181.96557264651614,182.09411432148244,25285328.0
2018-06-28,184.1,186.21,183.8,185.5,17365235.0,0.0,1.0,182.0347873945749,184.12111765748938,181.7381527600373,183.4190823557504,17365235.0
2018-06-29,186.29,187.19,182.91,185.11,22737666.0,0.0,1.0,184.2002202266994,185.0901241303122,180.85813667757574,183.03345733085152,22737666.0
2018-07-02,183.82,187.3,183.42,187.18,17674788.0,0.0,1.0,181.75792840233981,185.198890162976,181.36241555628968,185.08023630916097,17674788.0
2018-07-03,187.79,187.95,183.54,183.92,13954806.0,0.0,1.0,185.6833933993874,185.84159853780744,181.4810694101047,181.85680661385234,13954806.0
2018-07-05,185.26,186.41,184.28,185.4,16604248.0,0.0,1.0,183.1817746481203,184.31887408051443,182.21276817529747,183.32020414423786,16604248.0
2018-07-06,185.42,188.434,185.2,187.97,17485245.0,0.0,1.0,183.33997978654034,186.32016908152812,183.12244772121278,185.86137418010998,17485245.0
2018-07-09,189.5,190.68,189.3,190.58,19756634.0,0.0,1.0,187.37421081625175,188.54097371209966,187.1764543932267,188.4420955005871,19756634.0
2018-07-10,190.71,191.28,190.1801,190.35,15939149.0,0.0,1.0,188.5706371755534,189.13424298117485,188.0466815327485,188.21467561410827,15939149.0
2018-07-11,188.5,189.7799,187.61,187.88,18831470.0,0.0,1.0,186.3854287011264,187.65097093027532,185.50541261866485,185.7723837897487,18831470.0
2018-07-12,189.53,191.41,189.31,191.03,18041131.0,0.0,1.0,187.4038742797055,189.26278465614112,187.18634221437793,188.88704745239352,18041131.0
